idx,model,e,se,sweep,orca,sfm,linear,static,scenario,dx_lo,dx_hi,dy_lo,dy_hi,spawn_width_x,spawn_width_y,human_count,mix_label,success_rate,success_std,collision_rate,collision_std,timeout_rate,timeout_std,avg_nav_time,nav_time_std,avg_min_dist,min_dist_std,avg_accel,avg_accel_std,avg_min_dist_overall,min_dist_overall_std,avg_path_irregularity,avg_path_irregularity_std,density_x,geometry_x,algorithm
20,RGL,3,1,policy_mixture,15,0,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O15/SF0/L0/S0,0.982,0.1329511188369621,0.018,0.132951118836962,0.0,0.0,9.535641547861507,1.7808246979165643,1.1605613121265348,0.044710783669879406,1.2088915997823921,0.028067860632542657,0.7668157760661225,0.0846255964528057,1.6614071864907218,0.8276285808189829,0.15,10.0,RGL
21,RGL,3,2,policy_mixture,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.938,0.24115555146004838,0.062,0.2411555514600483,0.0,0.0,11.805970149253731,2.606103743916505,1.1230532216639417,0.145940188993564,2.0193931514046826,0.046025580482197265,0.7318126153244626,0.08502114395119272,2.6156299333722632,0.8714457583424143,0.15,10.0,RGL
22,RGL,3,3,policy_mixture,5,5,2,3,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O5/SF5/L2/S3,0.91,0.28618176042508364,0.078,0.2681715868618449,0.012,0.10888526071052959,11.768131868131869,2.979568857404942,1.1470792081753305,0.20928138046243233,1.9286881228702308,0.06067647450972464,0.7367154116975223,0.08947474365122288,2.586334723760895,0.8923982305830561,0.1,10.0,RGL
23,RGL,3,4,policy_mixture,4,4,4,3,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O4/SF4/L4/S3,0.896,0.3052605444534226,0.09,0.2861817604250837,0.014,0.11749042514179613,12.5,3.680721675646154,1.1533280086919047,0.24571434539353385,2.101825802712308,0.07130423338782917,0.7249128797937782,0.08598725394096779,2.768614667626527,0.9902214384103775,0.08,10.0,RGL
0,MPC-SGAN,0,0,density,2,3,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,5,O2/SF3/L0/S0,0.908,0.28902595039200196,0.002,0.044676615807377355,0.09,0.2861817604250837,10.551762114537445,5.202699356621796,1.9245799434652804,0.06049295669692981,2.5710331458276157,0.2701809833393736,1.446145532405795,0.32079232381198725,1.873212641899482,1.3188667046024465,0.05,10.0,MPC-SGAN
1,MPC-SGAN,0,1,density,5,5,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,10,O5/SF5/L0/S0,0.898,0.3026483107502832,0.034,0.18122913673027302,0.068,0.251745903640953,12.232182628062361,5.2330929292193185,1.521897425131362,0.1445476150098329,2.2051037963948112,0.23742232128587612,1.1076100905209207,0.2087108406655658,2.554196072729055,1.3106493895364446,0.1,10.0,MPC-SGAN
2,MPC-SGAN,0,2,density,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.862,0.34489998550304407,0.088,0.28329489935401236,0.05,0.21794494717703367,13.12645011600928,5.38648055609173,1.244905537936635,0.2653553808418153,2.547763479186751,0.15528383282766017,0.9196144941165558,0.1567954469533345,2.8439227097005753,1.2044266905292513,0.15,10.0,MPC-SGAN
3,MPC-SGAN,0,3,density,10,10,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,20,O10/SF10/L0/S0,0.744,0.4364218143035474,0.216,0.4115142767875739,0.04,0.19595917942265423,13.519489247311828,5.501568985141558,0.9715881392438125,0.6970619990116577,2.3951891737,0.19748357055794463,0.8047665288875533,0.14372958270342953,2.920571880133499,1.1825865630975492,0.2,10.0,MPC-SGAN
4,MPC-SGAN,0,4,density,12,13,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,25,O12/SF13/L0/S0,0.542,0.4982328772772828,0.442,0.49662460672020675,0.016,0.125475097130865,13.632841328413285,5.797344064303549,0.6437164444144015,1.6229157950705073,2.314056836087149,0.17675612136880964,0.7346990293065867,0.10628223503438755,2.969925891295907,1.238008325446849,0.25,10.0,MPC-SGAN
5,MPC-SGAN,0,5,density,15,15,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,30,O15/SF15/L0/S0,0.344,0.4750410508577127,0.634,0.48170945600019105,0.022,0.14668333238647122,12.861918604651162,4.84912367224467,0.37708467537086165,2.803421492857262,2.7007952573711975,0.14003331329347507,0.7017982798903868,0.09420950468271055,2.8072955111469864,1.1131007856644735,0.3,10.0,MPC-SGAN
6,MPC-SGAN,0,6,density,17,18,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,35,O17/SF18/L0/S0,0.2,0.4,0.794,0.4044304637388237,0.006,0.0772269383052313,13.2,5.5281099844341,0.21275820398441828,4.828767680578969,2.5817126131167885,0.13946073096445363,0.6804208476955627,0.07838708202123869,2.8186376961935475,1.140299586698987,0.35,10.0,MPC-SGAN
7,MPC-SGAN,1,0,geometry,1,2,0,0,passing_crossing,-0.75,0.75,-5,5,1.5,10,3,O1/SF2/L0/S0,0.008,0.08908422980528036,0.11,0.31288975694324034,0.882,0.32260812141048156,33.5,9.12585612422199,0.09466702952618022,84.84146902439112,1.0478628642598093,0.01893501652709456,0.6618417876034923,0.03896030859642847,13.262868138070932,3.2985198024652305,0.03,1.5,MPC-SGAN
8,MPC-SGAN,1,1,geometry,2,2,0,0,passing_crossing,-1.0,1.0,-5,5,2.0,10,4,O2/SF2/L0/S0,0.146,0.35310621631458144,0.294,0.4555919226676434,0.56,0.4963869458396342,28.21917808219178,10.270397779897712,0.4232804026357923,5.702737306593672,1.1455950120965679,0.07243710232305668,0.7126670146889648,0.11468450535375567,11.99596763363851,3.9095228935635338,0.04,2.0,MPC-SGAN
9,MPC-SGAN,1,2,geometry,2,3,0,0,passing_crossing,-1.25,1.25,-5,5,2.5,10,5,O2/SF3/L0/S0,0.174,0.3791094828674165,0.296,0.45649096376598736,0.53,0.4990991885387112,21.695402298850574,10.237722201380462,0.47279887615516664,38.189048849918805,1.633724022870951,0.287464765256662,0.7313946386493161,0.1418726765406554,9.181628180879745,4.003004795819713,0.05,2.5,MPC-SGAN
10,MPC-SGAN,1,3,geometry,3,3,0,0,passing_crossing,-1.5,1.5,-5,5,3.0,10,6,O3/SF3/L0/S0,0.308,0.46166654632970755,0.358,0.4794121400215059,0.334,0.47163969298607594,19.31331168831169,8.64574071663117,0.5939406583775564,2.073578890243394,1.980180124336927,0.1574365022573259,0.7306844005900526,0.13399045373066287,7.633307203657218,3.2410839819589956,0.06,3.0,MPC-SGAN
11,MPC-SGAN,1,4,geometry,3,4,0,0,passing_crossing,-1.75,1.75,-5,5,3.5,10,7,O3/SF4/L0/S0,0.28,0.44899888641287294,0.36,0.48,0.36,0.48,17.414285714285715,7.859580790607195,0.5263180200141568,2.267336321063578,2.437343869569944,0.3786042234121497,0.749407416737783,0.16099091404587854,6.534726926686902,3.0605664327002926,0.07,3.5,MPC-SGAN
12,MPC-SGAN,1,5,geometry,4,4,0,0,passing_crossing,-2.0,2.0,-5,5,4.0,10,8,O4/SF4/L0/S0,0.378,0.48488761584515644,0.356,0.47881520443695186,0.266,0.44186423254207846,16.674603174603174,7.8934247284089984,0.6572364213194198,1.8766625545536402,2.489663673471596,0.270938859109821,0.7582437054391703,0.1545555914090497,5.450823436282892,2.7148188038690115,0.08,4.0,MPC-SGAN
13,MPC-SGAN,1,6,geometry,4,5,0,0,passing_crossing,-2.25,2.25,-5,5,4.5,10,9,O4/SF5/L0/S0,0.414,0.4925484747717731,0.342,0.47437959483940706,0.244,0.42949272403615874,16.29951690821256,7.465275475886576,0.6917019196357723,1.6888111607479563,2.760239951993325,0.16627168065760742,0.8189737655280352,0.20319287487232515,4.8139547019650895,2.0852204992425634,0.09,4.5,MPC-SGAN
14,MPC-SGAN,2,0,directionality,7,8,0,0,passing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.876,0.3295815528818323,0.068,0.251745903640953,0.056,0.22992172581119863,12.33390410958904,6.33411056705964,1.336033312171866,0.23014501750105595,2.692961839261581,0.2699289704814902,0.966330589703438,0.1967517970045226,2.3949548003151664,1.3694619992397643,0.15,10.0,MPC-SGAN
15,MPC-SGAN,2,1,directionality,7,8,0,0,crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.826,0.3791094828674166,0.136,0.3427885645700568,0.038,0.19119623427254,13.444309927360775,5.392487404489416,1.161718367153362,0.4030101163343824,2.139312298610409,0.20063358095429798,0.8924034276117105,0.15009869668321132,3.060122832147949,1.119553582278311,0.15,10.0,MPC-SGAN
16,MPC-SGAN,2,2,directionality,7,8,0,0,passing_crossing,-5.0,5.0,-5,5,10.0,10,15,O7/SF8/L0/S0,0.836,0.37027557305336795,0.098,0.2973146481423342,0.066,0.24828209762284512,13.016148325358852,6.390937905950308,1.214763973647678,0.29891604374378117,2.706410324232246,0.1746241740526019,0.9357859507695393,0.18241830227779382,2.6975160404902927,1.3208342992066504,0.15,10.0,MPC-SGAN
